ID_ASIGNATURA,NOMBRE,CREDITOS,HORAS,DEPARTAMENTO,OFICIAL
1669,COMPUTACION GRAFICA,8,4,,1
1670,LENGUAJES FORMALES Y AUTOMATAS,9,4.5,,1
1671,LENGUAJES DE PROGRAMACION,6,3,,1
1672,MICROCOMPUTADORAS,8,4,,1
1674,GEOLOGIA DE CAMPO,6,3,,1
1675,INFERENCIA ESTADISTICA,9,4.5,,1
1676,CARTOGRAFIA GEOLOGICA,9,4.5,,1
1677,PETROLOGIA METAMORFICA,9,4.5,,1
1678,FUNDAMENTOS PARA EXPLOTACION MINAS,9,4.5,,1
1679,PROYECTO GEOMETRICO OBRAS INFRAEST,9,4.5,,1
1680,CIRCUITOS DE RF,8,4,,1
1681,COMUNICACIONES  DIGITALES,11,5.5,,1
1682,MEDIOS DE TRANSMISION,8,4,,1
1683,PROCESAMIENTO DIG.SEÑALES COMUNIC.,9,4.5,,1
1684,TEORIA DE LA INFORMACION CODIFICAC,6,3,,1
1685,SISTEMAS DE PLANEACION,8,4,,1
1686,SISTEMAS DE COMUNICACIONES,8,4,,1
1688,QUIMICA PARA INGENIEROS CIVILES,10,5,,1
1689,PERCEPCION REMOTA I,9,4.5,,1
1690,PETROLOGIA IGNEA,9,4.5,,1
1691,ELECTRONICA BASICA,10,5,,1
1693,INTRODUCC A  ANATOM Y FISIOLOG II,10,5,,1
1695,ANALISIS DE BIOSEÑALES,10,5,,1
1698,MEDICIONES CLINICAS,10,5,,1
1699,SISTEMAS DE MEDICION TRADUCT MEDICOS,10,5,,1
1703,ANALISIS ESTRUCTURAL,9,4.5,,1
1706,CONCENTRACION DE MINERALES,9,4.5,,1
1710,FUNDAMENTOS TEORIA ELECTROM.,9,4.5,,1
1714,MECANICA DE SUELOS,9,4.5,,1
1723,AMPLIFICADORES ELECTRONICOS,10,5,,1
1727,ESTRATIGRAFIA,8,4,,1
1729,PETROLOGIA SEDIMENTARIA,9,4.5,,1
1730,HIDRAULICA MAQ.-TRANSITORIOS,9,4.5,,1
1731,INGENIERIA DE SISTEMAS II,9,4.5,,1
1734,INGENIERIA ECONOMICA,8,4,,1
1743,INTRO.DISEÑO FILTROS DIGIT.,9,4.5,,1
1744,PROCESOS DE MANUFACTURA I,10,5,,1
1745,RELACIONES LABORALES Y ORGANIZACIO,6,3,,1
1746,PROCESOS BOMBEO Y COMPRES. HIDROCAR,8,4,,1
1747,INVESTIGACION DE OPERACIONES II,8,4,,1
1748,DISEÑO DIGITAL,8,4,,1
1749,SISTEMAS ELECTRICOS DE POTENCIA I,11,5.5,,1
1750,CARTOGRAFIA,8,4,,1
1751,HIDROLOGIA APLICADA A LA GEOMATICA,9,4.5,,1
1752,PERCEPCION REMOTA II,9,4.5,,1
1753,SISTEMAS INFORMACION GEOGRAFICA II,9,4.5,,1
1755,MATERIALES NO METALICOS,10,5,,1
1756,MECANICA DE FLUIDOS II,10,5,,1
1757,CARACTERIZAC.DINAMICA DE YACIMIENTOS,9,4.5,,1
1758,EVALUAC. PROYEC. CIENC. DE LA TIERRA,6,3,,1
1759,INGENIERIA DE PERFORACION DE POZOS,10,5,,1
1760,ADMINISTRACION EN INGENIERIA,6,3,,1
1761,IMPACTO AMBIENTAL MANEJO RESID MUN,9,4.5,,1
1762,AQUITECTURA DE COMPUTADORAS,6,3,,1
1763,BASES DE DATOS,9,4.5,,1
1764,COMPILADORES,9,4.5,,1
1765,DISPOSITIVOS DE ALMACENAMIENTO E S,8,4,,1
1766,INTELIGENCIA ARTIFICIAL,9,4.5,,1
1767,REDES DE DATOS,11,5.5,,1
1768,PROSPECCION GRAVIMETR. Y MAGNETOMET,9,4.5,,1
1769,PETROLOGIA SEDIMENTARIA,9,4.5,,1
1770,TECTONICA,9,4.5,,1
1771,EXPLOTACION DE MINAS SUBTERRANEAS,9,4.5,,1
1772,MECANICA Y COMPORTAMIENTO DE MATER,6,3,,1
1773,ANTENAS,8,4,,1
1774,DISPOSITIVOS DE MICROONDAS I,8,4,,1
1775,RECEPTORES,8,4,,1
1776,REDES DE DATOS I,9,4.5,,1
1777,TECNOLOGIAS PROCS.DIGITAL DE SEÑAL,8,4,,1
1778,MECANICA DEL CUERPO HUMANO,10,5,,1
1779,PSICOLOGIA MEDICA,8,4,,1
1780,ACUSTICA Y OPTICA,10,5,,1
1781,BIOTERMOFLUIDOS I,10,5,,1
1782,DISEÑO DE ELEMENTOS DE MAQUINAS,8,4,,1
1783,ERGONOMIA,8,4,,1
1784,ESTADISTICA APLICADA,8,4,,1
1786,PLANEACION Y CONTROL DE RECURS HOSP,10,5,,1
1787,AMPLIF Y FILTRAD SEÑALES MEDICAS,10,5,,1
1789,"CIENCIA, TECNOLOGIA Y SOCIEDAD",4,2,,1
1790,INTRODUCCION ANALIS ECON EMPRESARIAL,4,2,,1
1791,MEXICO NACION MULTICULTURAL,4,2,,1
1792,SEM. SOCIOHUMANISTICO: HIST PROSP IN,2,1,,1
1793,SEM. SOCIOHUMANISTICO: ING Y POL PUB,2,1,,1
1794,SEM. SOCIOHUMANISTICO: ING SUSTENTAB,2,1,,1
1795,TALLER SOCIOHUMANISTICO: CREATIVIDAD,2,1,,1
1796,TALLER SOCIOHUMANISTICO: LIDERAZGO,2,1,,1
1797,TEMAS SELEC INGEN SIST BIOMED I,8,4,,1
1798,TEMAS SELEC INGEN SIST BIOMED II,8,4,,1
1799,TEMAS SELEC INGEN SIST BIOMED III,8,4,,1
1805,GEOTECNIA DE EXCAVACION,6,3,,1
1807,INSTRUMENTACION Y CONTROL,8,4,,1
1813,PIROMETALURGIA,9,4.5,,1
181,ELECTRONICA BASICA,10,5,,1
1822,CIRCUITOS INTEGRADOS ANALOGICOS,10,5,,1
1832,ABASTECIMIENTO AGUA POT-ALC.,9,4.5,,1
